"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Adam Engel","CHW","39","140","7","21","18","7","7.9%","22.1%",".244",".279",".252",".336",".496",".354",".348","125","1.0","5.3","4.4","1.5","15082"
"Austin Slater","SFG","129","306","12","39","32","15","9.2%","27.5%",".182",".303",".241",".320",".423",".321",".335","101","2.4","3.0","1.2","1.4","16153"
"J.D. Davis","NYM","73","211","5","18","23","1","11.4%","32.2%",".151",".426",".285",".384",".436",".357",".338","129","0.4","8.3","-1.2","1.4","16219"
"Francisco Mejia","TBR","84","277","6","31","35","0","6.1%","17.7%",".156",".299",".260",".322",".416",".320",".285","107","-0.5","2.0","2.8","1.4","16403"
"Michael Conforto","NYM","125","479","14","52","55","1","12.3%","21.7%",".153",".276",".232",".344",".384",".322",".350","106","-1.4","2.3","-4.2","1.4","16376"
"Danny Jansen","TOR","70","205","11","32","28","0","8.3%","21.5%",".250",".233",".223",".299",".473",".329",".336","105","-0.5","0.7","6.4","1.4","16535"
"Paul DeJong","STL","113","402","19","44","45","4","8.7%","25.6%",".194",".216",".197",".284",".390",".293",".312","85","0.5","-6.9","7.4","1.4","18015"
"Jesus Aguilar","MIA","131","510","22","49","93","0","9.0%","18.2%",".198",".279",".261",".329",".459",".334",".334","111","-3.4","3.5","-6.7","1.4","11342"
"Rougned Odor","NYY","102","361","15","42","39","0","7.5%","27.7%",".177",".242",".202",".286",".379",".289",".290","83","1.6","-6.0","7.4","1.4","12282"
"Nick Ahmed","ARI","129","473","5","46","38","7","7.2%","22.0%",".118",".279",".221",".280",".339",".269",".249","64","0.6","-20.8","18.4","1.4","12147"
"Reese McGuire","TOR","78","217","1","22","10","0","6.9%","20.3%",".091",".318",".253",".310",".343",".289",".281","78","0.8","-5.1","11.2","1.3","15674"
"Jeff McNeil","NYM","120","426","7","48","35","3","6.8%","13.6%",".109",".280",".251",".319",".360",".301",".315","92","-1.1","-5.2","4.3","1.3","15362"
"Odubel Herrera","PHI","124","492","13","59","51","6","5.9%","15.7%",".156",".285",".260",".310",".416",".312",".302","93","0.3","-4.1","1.0","1.3","11476"
"Tyrone Taylor","MIL","93","271","12","33","43","6","7.4%","21.8%",".210",".277",".247",".321",".457",".333",".314","107","0.5","2.9","1.1","1.3","13675"
"Nick Madrigal","CHW","54","215","2","30","21","1","5.1%","7.9%",".120",".324",".305",".349",".425",".335",".289","112","1.2","4.4","1.3","1.3","20521"
"Donovan Solano","SFG","101","344","7","35","31","2","7.3%","16.9%",".124",".321",".280",".344",".404",".324",".335","104","-0.2","1.5","-0.3","1.3","8623"
"Seth Brown","OAK","111","307","20","43","48","4","7.5%","29.0%",".267",".230",".214",".274",".480",".315",".318","104","0.0","1.5","0.5","1.3","18171"
"Franmil Reyes","CLE","115","466","30","57","85","4","9.2%","32.0%",".268",".314",".254",".324",".522",".354",".353","126","-5.8","8.9","-12.3","1.2","14566"
"Aledmys Diaz","HOU","84","319","8","28","45","0","5.0%","19.4%",".146",".304",".259",".317",".405",".311",".319","97","-2.8","-3.9","5.4","1.2","15937"
"Ian Happ","CHC","148","535","25","63","66","9","11.6%","29.2%",".209",".281",".226",".323",".434",".328",".317","105","0.2","3.7","-9.4","1.2","17919"
"Andy Ibanez","TEX","76","272","7","31","25","0","5.5%","12.9%",".158",".297",".277",".321",".435",".325",".320","106","-0.8","1.2","1.4","1.2","18819"
"Gleyber Torres","NYY","127","516","9","50","51","14","9.7%","20.2%",".107",".314",".259",".331",".366",".307",".331","94","0.2","-3.3","-2.5","1.2","16997"
"Eric Haase","DET","98","381","22","48","61","2","6.8%","31.2%",".228",".278",".231",".286",".459",".316",".322","101","-0.7","0.0","-1.3","1.2","14111"
"Tucker Barnhart","CIN","116","388","7","41","48","0","7.5%","25.8%",".121",".324",".247",".317",".368",".300",".265","80","-0.1","-10.1","8.6","1.2","10200"
"Dylan Moore","SEA","126","377","12","42","43","21","10.6%","29.4%",".154",".229",".181",".276",".334",".271",".288","74","1.6","-10.2","9.0","1.2","18042"
"Tyler Naquin","CIN","127","454","19","52","70","5","7.7%","23.3%",".207",".318",".270",".333",".477",".345",".340","109","-0.8","4.2","-8.0","1.1","13359"
"Brian Anderson","MIA","67","264","7","24","28","5","9.8%","24.6%",".129",".317",".249",".337",".378",".314",".299","98","0.4","-0.3","2.7","1.1","18289"
"Jake Meyers","HOU","49","163","6","22","28","3","6.1%","30.7%",".178",".352",".260",".323",".438",".328",".321","109","1.9","3.6","2.0","1.1","20308"
"Nick Solak","TEX","127","511","11","57","49","7","6.7%","20.9%",".120",".292",".242",".314",".362",".299",".299","88","0.4","-6.9","0.6","1.1","19294"
"Gavin Lux","LAD","102","381","7","49","46","4","10.8%","21.8%",".122",".300",".242",".328",".364",".303",".323","90","3.8","-0.9","-0.8","1.1","19955"
"Bryan De La Cruz","MIA","58","219","5","17","19","1","8.2%","24.2%",".131",".380",".296",".356",".427",".339",".301","114","-1.3","2.6","1.1","1.1","19600"
"Thairo Estrada","SFG","52","132","7","19","22","1","6.8%","17.4%",".207",".286",".273",".333",".479",".346",".313","118","1.3","4.3","2.3","1.1","16426"
"Brett Gardner","NYY","140","461","10","47","39","4","13.0%","21.7%",".140",".269",".222",".327",".362",".305",".296","93","3.3","-0.5","-4.3","1.1","9927"
"Connor Joe","COL","63","211","8","23","35","0","12.3%","19.4%",".184",".323",".285",".379",".469",".366",".370","115","1.1","5.1","-1.5","1.1","16572"
"Ramon Urias","BAL","85","296","7","33","38","1","9.5%","25.7%",".134",".369",".279",".361",".412",".341",".344","115","0.4","5.7","-5.0","1.1","18795"
"Brendan Rodgers","COL","102","415","15","49","51","0","4.6%","20.2%",".186",".328",".284",".328",".470",".341",".311","99","-0.3","-1.1","-2.2","1.1","17907"
"Tommy Pham","SDP","155","561","15","74","49","14","13.9%","22.8%",".154",".280",".229",".340",".383",".318",".350","102","1.1","2.4","-10.6","1.1","2967"
"Freddy Galvis","- - -","104","394","14","53","40","1","6.9%","19.5%",".166",".269",".242",".302",".407",".305",".280","90","0.9","-3.9","1.2","1.1","6609"
"Jason Castro","HOU","66","179","8","22","21","0","14.0%","30.2%",".208",".310",".235",".356",".443",".347",".376","122","-1.0","3.8","0.5","1.0","8722"
"Jake Rogers","DET","38","127","6","17","17","1","8.7%","36.2%",".257",".344",".239",".306",".496",".339",".298","116","1.0","3.6","2.4","1.0","19452"
"Jonah Heim","TEX","82","285","10","22","32","3","5.3%","20.4%",".162",".210",".196",".239",".358",".256",".285","60","-0.9","-15.0","15.6","1.0","16930"
"Sergio Alcantara","CHC","89","255","5","30","17","3","11.8%","29.0%",".123",".280",".205",".303",".327",".279",".275","73","0.7","-8.1","9.7","1.0","16417"
"Yadier Molina","STL","121","473","11","45","66","3","5.1%","16.7%",".118",".283",".252",".297",".370",".290",".306","83","-5.3","-15.5","9.6","1.0","7007"
"Guillermo Heredia","ATL","120","347","5","46","26","0","9.2%","23.3%",".134",".282",".220",".311",".354",".292",".290","79","3.1","-6.1","4.4","1.0","18721"
"Ji-Man Choi","TBR","83","305","11","36","45","0","14.8%","28.5%",".182",".300",".229",".348",".411",".334",".342","117","-0.9","5.5","-6.1","1.0","5452"
"Christian Arroyo","BOS","57","181","6","22","25","1","4.4%","24.3%",".183",".325",".262",".324",".445",".332",".301","106","1.5","2.7","1.0","1.0","16434"
"Jace Peterson","MIL","94","302","6","36","31","10","12.6%","22.5%",".120",".310",".247",".348",".367",".318",".322","98","4.3","3.5","-3.8","1.0","12325"
"Tom Murphy","SEA","97","325","11","35","34","0","12.3%","30.5%",".148",".265",".202",".304",".350",".291",".292","88","-0.3","-5.2","3.9","1.0","13499"
"Austin Nola","SDP","56","194","2","15","29","0","7.2%","9.8%",".104",".292",".272",".340",".376",".316",".301","100","0.2","0.2","3.0","1.0","15941"
"Jesus Sanchez","MIA","64","251","14","27","36","0","8.0%","31.1%",".238",".316",".251",".319",".489",".339",".337","114","-2.9","1.6","-0.6","0.9","19913"
"Adalberto Mondesi","KCR","35","136","6","19","17","15","4.4%","31.6%",".222",".299",".230",".271",".452",".306",".318","90","2.5","0.9","3.8","0.9","13769"
"Andrelton Simmons","MIN","131","451","3","37","31","1","7.1%","13.7%",".051",".256",".223",".283",".274",".252",".261","58","-1.5","-24.6","18.4","0.9","10847"
"Corey Dickerson","- - -","109","365","6","43","29","6","6.8%","18.6%",".137",".323",".271",".326",".408",".317",".295","99","-1.3","-1.9","-1.4","0.9","10762"
"Tomas Nido","NYM","58","161","3","16","13","1","3.1%","27.3%",".105",".292",".222",".261",".327",".254",".289","62","-2.1","-9.8","13.3","0.9","13755"
"Matt Duffy","CHC","97","322","5","45","30","8","7.8%","19.6%",".093",".351",".287",".357",".381",".327",".325","104","-1.5","0.3","-2.3","0.9","13836"
"Garrett Cooper","MIA","71","250","9","30","33","1","12.0%","27.2%",".181",".374",".284",".380",".465",".367",".362","132","-4.0","6.2","-5.9","0.9","15279"
"Miguel Sano","MIN","135","532","30","68","75","2","11.1%","34.4%",".243",".291",".223",".312",".466",".332",".322","112","-2.2","5.5","-15.0","0.9","12164"
"Charlie Culberson","TEX","91","271","5","23","22","7","6.3%","23.6%",".138",".307",".243",".296",".381",".292",".269","84","1.9","-3.5","2.8","0.9","3298"
"Kevin Pillar","NYM","124","347","15","40","47","4","3.2%","23.3%",".185",".261",".231",".277",".415",".297",".281","90","0.7","-3.7","0.4","0.8","12434"
"Max Fried","ATL","32","67","0","7","5","0","6.0%","26.9%",".055",".405",".273",".322",".327",".289",".270","77","-0.1","-2.0","8.1","0.8","13743"
"Jake Fraley","SEA","78","265","9","27","36","10","17.4%","26.8%",".159",".265",".210",".352",".369",".322",".335","109","0.9","3.8","-5.0","0.8","19260"
"Andres Gimenez","CLE","68","210","5","23","16","11","5.2%","25.7%",".133",".273",".218",".282",".351",".277",".268","74","2.6","-4.1","4.7","0.8","19950"
"David Fletcher","LAA","157","665","2","74","47","15","4.7%","9.0%",".062",".287",".262",".297",".324",".273",".280","69","3.3","-21.8","6.8","0.8","17992"
"Abraham Toro","- - -","95","375","11","45","46","6","8.3%","14.4%",".134",".254",".239",".315",".373",".303",".323","94","-0.1","-2.7","-2.5","0.8","19844"
"Austin Barnes","LAD","77","225","6","28","23","1","8.9%","24.9%",".130",".268",".215",".299",".345",".285",".274","78","0.0","-6.3","6.2","0.7","12158"
"Jorge Alfaro","MIA","92","311","4","22","30","8","3.5%","31.8%",".098",".354",".244",".283",".342",".274",".292","72","0.0","-11.2","8.1","0.7","12180"
"Brandon Marsh","LAA","70","260","2","27","19","6","7.7%","35.0%",".102",".403",".254",".317",".356",".296",".324","85","3.5","-1.4","-0.2","0.7","20202"
"Gio Urshela","NYY","116","442","14","42","49","1","4.5%","24.7%",".152",".329",".267",".301",".419",".309",".304","96","-6.0","-8.1","0.2","0.7","10681"
"Niko Goodrum","DET","90","325","9","39","33","14","8.9%","32.9%",".145",".301",".214",".292",".359",".286",".304","81","0.3","-7.3","3.3","0.7","12092"
"Starlin Castro","WSN","87","346","3","25","38","0","7.5%","17.9%",".092",".339",".283",".333",".375",".309",".324","91","-2.1","-6.3","1.7","0.7","4579"
"Jed Lowrie","OAK","139","512","14","55","69","0","9.6%","21.1%",".153",".289",".245",".318",".398",".311",".343","102","-1.6","-0.5","-9.9","0.7","4418"
"Ryan Jeffers","MIN","85","293","14","28","35","0","7.5%","36.9%",".202",".269",".199",".270",".401",".289",".299","83","-2.3","-8.3","5.3","0.7","24618"
"Taylor Ward","LAA","65","237","8","33","33","1","8.4%","23.2%",".188",".301",".250",".332",".438",".333",".344","110","-0.4","2.5","-3.6","0.7","17548"
"Raimel Tapia","COL","133","533","6","69","50","20","7.5%","13.1%",".099",".306",".273",".327",".372",".305",".273","75","3.7","-13.2","2.2","0.7","14350"
"Eddie Rosario","- - -","111","412","14","42","62","11","6.3%","14.8%",".177",".273",".259",".305",".435",".316",".319","98","1.1","0.3","-7.5","0.7","12155"
"Alejandro Kirk","TOR","60","189","8","19","24","0","10.1%","11.6%",".194",".234",".242",".328",".436",".330",".373","106","-1.7","-0.4","0.4","0.7","22581"
"German Marquez","COL","32","60","1","5","9","0","0.0%","21.7%",".151",".333",".264",".264",".415",".288",".284","64","0.0","-2.8","7.3","0.7","15038"
"Jose Peraza","NYM","64","154","6","21","20","1","5.8%","16.9%",".176",".209",".204",".266",".380",".280",".268","79","-0.1","-4.1","5.4","0.6","13593"
"Trey Mancini","BAL","147","616","21","77","71","0","8.3%","23.2%",".176",".308",".255",".326",".432",".326",".341","105","-5.3","-1.8","-12.8","0.6","15149"
"Ronald Torreyes","PHI","112","344","7","30","41","2","5.5%","11.9%",".104",".258",".242",".286",".346",".274",".256","68","1.3","-12.6","7.4","0.6","11400"
"Tres Barrera","WSN","30","107","2","8","10","0","11.2%","20.6%",".121",".328",".264",".374",".385",".333",".311","106","0.1","0.9","1.8","0.6","19977"
"Brad Miller","PHI","140","377","20","53","49","3","11.9%","29.7%",".227",".276",".227",".321",".453",".331",".345","105","0.6","3.2","-9.6","0.6","12775"
"Tyler Wade","NYY","103","145","0","31","5","17","11.0%","25.5%",".055",".378",".268",".354",".323",".304",".254","93","2.8","1.5","-0.2","0.6","15730"
"Lars Nootbaar","STL","58","124","5","15","15","2","10.5%","22.6%",".183",".273",".239",".317",".422",".316",".286","100","1.4","1.4","0.6","0.6","21454"
"Ryan Mountcastle","BAL","144","586","33","77","89","4","7.0%","27.5%",".232",".297",".255",".309",".487",".335",".326","111","-1.2","6.6","-20.3","0.6","18373"
"Yu Chang","CLE","89","251","9","32","39","1","4.4%","27.5%",".198",".281",".228",".267",".426",".294",".282","85","1.5","-3.2","0.8","0.6","14773"
"Travis d'Arnaud","ATL","60","229","7","21","26","0","7.4%","23.1%",".167",".260",".220",".284",".388",".291",".312","78","-1.1","-7.4","5.8","0.6","7739"
"Jose Trevino","TEX","89","302","5","23","30","1","4.0%","18.9%",".102",".279",".239",".267",".340",".261",".285","63","-5.5","-19.3","15.0","0.6","16725"
"Kyle Higashioka","NYY","67","211","10","20","29","0","8.1%","28.0%",".207",".200",".181",".246",".389",".272",".343","71","-1.7","-9.2","7.9","0.6","5517"
"Eric Hosmer","SDP","151","565","12","53","65","5","8.5%","17.5%",".126",".313",".269",".337",".395",".319",".326","103","-5.5","-3.6","-9.5","0.6","3516"
"Matt Vierling","PHI","34","77","2","11","6","2","5.2%","26.0%",".155",".420",".324",".364",".479",".356",".325","121","0.6","2.7","0.4","0.6","21558"
"Jack Mayfield","- - -","87","290","10","30","39","5","5.9%","23.4%",".169",".254",".218",".272",".387",".284",".250","78","0.1","-7.8","3.6","0.6","15402"
"Trevor Larnach","MIN","79","301","7","29","28","1","10.3%","34.6%",".127",".338",".223",".322",".350",".300",".306","91","-1.4","-4.7","0.1","0.6","21501"
"Jacob deGrom","NYM","15","33","0","4","6","0","0.0%","27.3%",".030",".500",".364",".364",".394",".331",".273","112","0.0","0.5","4.0","0.6","10954"
"Ehire Adrianza","ATL","109","209","5","32","28","0","10.0%","20.1%",".154",".290",".247",".327",".401",".316",".314","95","0.2","-1.2","-0.3","0.6","8418"
"Luis Guillorme","NYM","69","156","1","13","5","0","14.7%","14.7%",".045",".315",".265",".374",".311",".311",".302","99","-0.7","-0.9","1.2","0.6","16451"
"Greg Allen","NYY","15","48","0","9","2","5","10.4%","27.1%",".162",".400",".270",".417",".432",".375",".318","141","1.7","4.1","-0.3","0.5","16623"
"Derek Hill","DET","49","150","3","19","14","6","6.7%","28.0%",".129",".351",".259",".313",".388",".305",".289","94","0.3","-0.8","1.1","0.5","16947"
"Hanser Alberto","KCR","103","255","2","25","24","3","1.6%","10.2%",".133",".293",".270",".291",".402",".296",".294","83","1.4","-3.8","0.5","0.5","11902"
"Sam Hilliard","COL","81","238","14","32","34","5","9.7%","36.6%",".248",".283",".215",".294",".463",".318",".312","84","2.5","-2.4","-0.1","0.5","17954"
"Lane Thomas","- - -","77","264","7","35","28","6","14.0%","23.9%",".177",".293",".235",".341",".412",".328",".322","104","-0.7","0.6","-4.1","0.5","16939"
"Kevin Plawecki","BOS","64","173","3","15","15","0","6.9%","15.0%",".102",".328",".287",".349",".389",".325",".327","101","-0.9","-0.7","0.0","0.5","13807"
"Matt Beaty","LAD","120","234","7","35","40","2","8.5%","18.8%",".132",".314",".270",".363",".402",".339",".308","114","0.4","4.5","-7.2","0.5","17710"
"Oscar Mercado","CLE","72","238","6","27","19","7","8.8%","17.6%",".145",".253",".224",".300",".369",".294",".279","85","2.7","-1.8","-1.3","0.5","16375"
"Dom Nunez","COL","81","263","10","31","33","0","12.9%","34.6%",".211",".258",".189",".293",".399",".294",".261","68","1.8","-8.8","4.9","0.5","15055"
"Robinson Chirinos","CHC","45","112","5","13","15","0","8.0%","32.1%",".227",".304",".227",".324",".454",".336",".291","110","-1.2","0.3","0.9","0.5","3142"
"Ha-seong Kim","SDP","117","298","8","27","34","6","7.4%","23.8%",".150",".241",".202",".270",".352",".270",".265","70","1.4","-9.8","4.8","0.5","27506"
"Chris Owings","COL","21","50","1","9","5","2","14.0%","30.0%",".302",".481",".326",".420",".628",".431",".318","157","0.5","4.2","-1.0","0.5","10030"
"Kyle Lewis","SEA","36","147","5","15","11","2","10.9%","25.2%",".146",".307",".246",".333",".392",".320",".350","107","-0.4","0.9","-1.1","0.5","19508"
"Dustin Garneau","DET","20","68","6","9","11","0","4.4%","26.5%",".371",".175",".210",".250",".581",".335",".303","114","-0.5","0.7","1.8","0.5","9433"
"James McCann","NYM","121","412","10","29","46","1","7.8%","27.9%",".117",".304",".232",".294",".349",".281",".284","80","-3.4","-13.8","4.8","0.5","12859"
"Bobby Dalbec","BOS","133","453","25","50","78","2","6.2%","34.4%",".254",".316",".240",".298",".494",".334",".344","106","-0.4","3.2","-14.0","0.5","19966"
"Tommy La Stella","SFG","76","242","7","26","27","0","7.4%","10.7%",".155",".255",".250",".308",".405",".307",".342","93","-1.1","-3.4","-0.1","0.5","12371"
"Cam Gallagher","KCR","48","124","1","9","7","0","6.5%","16.1%",".080",".293",".250",".298",".330",".276",".275","70","0.0","-4.6","4.9","0.5","12981"
"Jordan Luplow","- - -","62","193","11","23","28","1","14.5%","29.5%",".252",".232",".202",".326",".454",".337",".315","116","-1.8","2.0","-4.1","0.5","16424"
